O	oo0
OCCUPATIONLESS	@k3 khiw0 phee0 chan2 les1
OCCUPATIONS	@k3 khiw0 phee0 chan2
OCCUPIED	@k3 khiw0 phaaj0
OCCUPIER	@k3 khiw0 phaaj0 qq2
OCCUPIERS	@k3 khiw0 phaaj0 qq2
OCCUPIES	@k3 khiw0 phaaj0
OCCUPY	@k3 khiw0 phaaj0
OCCUPYED	@k3 khiw0 phaaj0
OCCUPYING	@k3 khiw0 phaaj0 ing2
OCCUR	qk3 khqq2
OCCURED	qk3 khqq2
OCCURENCE	qk3 kha1 ren3
OCCURENCES	qk3 kha1 ren3 ses1
OCCURES	qk3 khqq2
OCCURING	qk3 khqq0 ring2
OCCURRED	qk3 khqq2
OCCURRENCE	qk3 kha1 ren3
OCCURRENCES	qk3 kha1 ren3 ses1
OCCURRENT	qk3 kha1 ren3
OCCURRING	qk3 khqq0 ring2
OCCURS	qk3 khqq2
OCEAN	oo0 chiian2
OCEANED	oo0 chiian2
OCEANEER	oo0 chiia0 niia0
OCEANEERING	oo0 chiia0 niia0 ring2
OCEANFRONT	oo0 chiian2 fr@n3
OCEANGOING	oo0 chiian2 koo0 ing2
OCEANIAN	oo0 chiia0 niian2
OCEANIC	oo0 chiia0 nik1
OCEANICA	oo0 chiia0 ni3 kqq2
OCEANICAN	oo0 chiia0 ni3 khqn2
OCEANICS	oo0 chiia0 nik1
OCEANOGRAPHER	oo0 chiia0 n@1 kraaf3 fqq2
OCEANOGRAPHERS	oo0 chiia0 n@1 kraaf3 fqq2
OCEANOGRAPHIC	oo0 chiia0 n@@0 kraaf3 fik1
OCEANOGRAPHICAL	oo0 chiia0 n@@0 kraaf3 fi1 khql2
OCEANOGRAPHICALLY	oo0 chiia0 n@@0 kraaf3 fi1 khq1 lii2
OCEANOGRAPHICS	oo0 chiia0 n@@0 kraaf3 fik1
OCEANOGRAPHY	oo0 chiia0 n@1 kraaf3 fii2
OCEANOLOGIST	oo0 chiia0 noo0 lq1 cis3
OCEANOLOGISTS	oo0 chiia0 noo0 lq1 cis3
OCEANOLOGY	oo0 chiia0 noo0 lq1 cii2
OCEANS	oo0 chiian2
OCEANSIDE	oo0 chiian2 saj3
OCEANVIEW	oo0 chiian2 wiw0
OCELLA	oo0 see0 laa2
OCELLAR	oo0 see0 laa2
OCELLAR	oo0 see0 laa2
OCELLATED	oo0 see0 leet3 theet3
OCELLI	oo0 see0 laaj0
OCELLIFORM	oo0 see0 laaj0 f@@m0
OCELLUS	oo0 see0 las3
OCELOT	oo0 si1 l@t1
OCELOTL	oo0 si1 l@t3 thql2
OCELOTS	oo0 si1 l@t1
OCHERY	@@0 khqq0 rii2
OCHRE	@@0 khqq2
OCHRE	@@0 khqq2
OCHRED	@@0 khqt1
OCHRED	@@0 khqq2
OCHREOUS	@@0 khrii0 as3
OCHRES	@@0 khqq2
OCHRES	@@0 khqq2
OCHRY	@@0 khqq0 rii2
OCKBROOK	@k3 bruuk3
OCKENDEN	@k3 khqn1 dqn2
OCKENDON	@k3 khqn1 dqn2
OCT	@k3
OCTADS	@k3 thxxt1
OCTAGON	@k3 thqq0 kqn2
OCTAGONAL	@k3 thx1 kq1 nql2
OCTAGONALLY	@k3 thx1 kqn2 nql2 lii2
OCTAGONS	@k3 thqq0 kqn2
OCTAHEDRA	@k3 thq1 hee3 drqq2
OCTAHEDRAL	@k3 thq1 hee3 drql2
OCTAHEDRIC	@k3 thq1 hee3 drik1
OCTAHEDRICAL	@k3 thq1 hee3 dri3 khql2
OCTAHEDRON	@k3 thq1 hee3 drqn2
OCTAHEDRONS	@k3 thq1 hee3 drqn2
OCTAHEDROUS	@k3 thq1 hee3 dras2
OCTAL	@k3 thql2
OCTANE	@k3 theen0
OCTANES	@k3 theen0
OCTANGLE	@k3 thxxng0 kql2
OCTANGLES	@k3 thxxng0 kql2
OCTANT	@k3 then3
OCTANTAL	@k3 thxxn0 thql2
OCTANTS	@k3 then3
OCTAVE	@k3 theef1
OCTAVER	@k3 theef3 wqq2
OCTAVES	@k3 thiif1
OCTAVIAN	@k3 thee0 wiian2
OCTAVO	@k3 thee0 woo2
OCTAVOS	@k3 thee0 woos2
OCTEL	@k3 theel0
OCTELS	@k3 theel0
OCTENNIAL	@k3 theen0 niial2
OCTENNIALLY	@k3 theen0 niial2 lii2
OCTET	@k3 thet1
OCTETS	@k3 thet1
OCTETTE	@k3 thet1
OCTETTES	@k3 thet1
OCTILLION	@k3 thi1 liian2
OCTINE	@k3 thin0
OCTIVE	@k3 thiif1
OCTOBER	@k3 thoo0 bqq2
OCTOBERS	@k3 thoo0 bqq2
OCTODECIMAL	@k3 thoo0 des3 si1 mql2
OCTODECIMO	@k3 thoo0 des3 si1 moo2
OCTOGENARIAN	@k3 thq1 ci1 nxx0 riian2
OCTOGENARIANISM	@k3 thq1 ci1 nxx0 riian0 nis3 svm2
OCTOGENARIANS	@k3 thq1 ci1 nxx0 riian2
OCTOPUS	@k3 thq1 phqs3
OCTOPUSES	@k3 thq1 phqs3 ses1
OCTOROON	@k3 thqq0 ruun0
OCTOROONS	@k3 thqq0 ruun0
OCTORS	@k3 thqq2
OCTOSE	@k3 thoos3
OCTOSYLLABIC	@k3 thoos3 sil0 lxx0 bik1
OCTOSYLLABLE	@k3 thoos3 sil0 lee0 bql2
OCTROI	@k3 thruua0
OCTROIS	@k3 thruuas2
OCTUPLE	@k3 thuu0 phql2
OCTUPLED	@k3 thuu0 phql2
OCTUPLES	@k3 thuu0 phql2
OCTUPLET	@k3 thuu0 phlet1
OCTUPLETS	@k3 thuu0 phlet1
OCTUPLICATE	@k3 thuu0 phli3 kheet1
OCTUPLICATION	@k3 thuu0 phli3 khee0 chan2
OCTUPLING	@k3 thuu0 phling2
OCTUPLY	@k3 thuu0 phlaaj0
OCULAR	@k3 khiw0 lqq2
OCULAR	@k3 khiw0 lqq2
OCULARIST	@k3 khiw0 lq1 ris3
OCULARLY	@k3 khiw0 lq1 lii2
OCULARS	@k3 khiw0 lqq2
OCULARS	@k3 khiw0 lqq2
OCULARY	@k3 khiw0 lq1 rii2
OCULATE	@k3 khiw0 leet1
OCULATED	@k3 khiw0 lee0 thet1
OCULATUS	@k3 khiw0 lee0 thqs3
OCULI	@k3 khiw0 laaj0
OCULIS	@k3 khiw0 lis3
OCULIST	@k3 khiw0 lis3
OCULISTIC	@k3 khiw0 lis3 tik1
OCULISTS	@k3 khiw0 lis3
OCULUS	@k3 khiw0 lqq2
OD	@@t3
ODALINE	@@0 dql2 laaj0
ODALIS	@@0 dql2 lis3
ODALISK	@@0 dql2 lis3
ODALISKS	@@0 dql2 lis3
ODALISQUE	@@0 dql2 lis3
ODALISQUES	@@0 dql2 lis3
ODD	@@t3
ODDBALL	@@t3 b@@l0
ODDBALLS	@@t3 b@@l0
ODDER	@@t3 dqq2
ODDEST	@@t3 dis1
ODDIES	@@t3 dis1
ODDINGTON	@@t3 ding0 tan2
ODDISH	@@t3 dich1
ODDITIES	@@t3 di1 tii2
ODDITORIUM	@@t3 di3 th@@0 riiam2
ODDITY	@@t3 di3 tii2
ODDLER	@@t3 lqq2
ODDLY	@@t3 lii2
ODDMENT	@@t3 men3
ODDMENTS	@@t3 men3
ODDNESS	@@t3 nees1
ODDNESSES	@@t3 nes3 ses1
ODDS	@@t3
ODDSMAKER	@@t3 sa1 meek3 kqq2
ODDSMAKERS	@@t3 sa1 meek3 kqq2
ODDSMAKING	@@t3 sa1 meek3 king2
ODDSMAN	@@t3 sa1 mxxn0
ODE	@@t3
ODEA	@@0 dii0 rqq2
ODEKIRK	@@0 dq1 kqqk3
ODELAND	@@0 dq1 lxxn0
ODELET	oo0 dq1 let1
ODELINDA	oo0 dq1 lin0 dqq2
ODEMAR	oo0 dq1 maach3
ODENING	oo0 deen0 ning2
ODERED	oo0 dq1 reet1
ODES	@@t3
ODESSA	oo0 des3 saa2
ODESSER	oo0 des3 sqq2
ODETIC	oo0 dq1 thik1
ODETICS	oo0 dq1 thik1
ODEUM	oo0 diiam2
ODIOUS	oo0 diias2
ODIOUSLY	oo0 diias2 lii2
ODIOUSNESS	oo0 diias2 nees1
ODIUM	oo0 diiam2
ODIUMS	oo0 diiam2
ODOL	oo0 d@@l0
ODOLF	oo0 d@@f3
ODONALD	oo0 d@@n0 nql2
ODONES	oo0 d@@n0
ODONNEL	oo0 d@@n0 neel0
ODONNELL	oo0 d@@n0 neel0
ODONTIASIS	oo0 d@@n0 taaj0 qs1 sis1
ODONTIC	oo0 d@@n0 thik1
ODONTINE	oo0 d@@n0 thaaj0
ODONTIST	oo0 d@@n0 this3
ODONTOGRAPH	oo0 d@@n0 thq1 kraaf3
ODONTOGRAPHIC	oo0 d@@n0 thq1 kraaf3 fik1
ODONTOLOGICAL	oo0 d@@n0 thq1 loo0 ci1 khql2
ODONTOLOGIST	oo0 d@@n0 thoo0 lq1 cis3
ODONTOLOGY	oo0 d@@n0 thoo0 lq1 cii2
ODORANT	oo0 dqq0 ren3
ODORANTS	oo0 dqq0 ren3
ODORIC	oo0 dqq0 rik1
ODORIFER	oo0 dqq0 ri3 fqq2
ODORIFERANT	oo0 dqq0 ri3 fq1 ren3
ODORIFEROUS	oo0 dqq0 ri3 fq1 rqqs2
ODORIFEROUSLY	oo0 dqq0 ras3 lii2
ODORIFEROUSNESS	oo0 dqq0 ri3 fq1 ras3 nees1
ODORIFIC	oo0 dqq0 rif3 fik1
ODORIZE	oo0 dqq0 raj3
ODORIZED	oo0 dqq0 raj3
ODORIZER	oo0 dqq0 raj3 sqq2
ODORIZERS	oo0 dqq0 raj3 sqqs2
ODORIZES	oo0 dqq0 raj3 ses1
ODORIZING	oo0 dqq0 raj3 sing2
ODOROUS	oo0 dqq0 rqqs2
ODOROUSLY	oo0 dqq0 ras3 lii2
ODOROUSNESS	oo0 dqq0 ras3 nees1
ODOUR	oo0 dqq2
ODOUR	oo0 dqq2
ODOURED	oo0 dqq2
ODOURED	oo0 dqq2
ODOURLESS	oo0 dq1 les1
ODOURLESSES	oo0 dq1 les3 ses1
ODOURS	oo0 dqq2
ODSBODIKINS	oot3 sa1 b@@0 dik3 kin2
ODYSSEY	oo0 dis3 sii2
ODYSSEYS	oo0 dis3 sii2
OECUMENIC	ii0 khiw0 mee0 nik1
OECUMENICAL	ii0 khiw0 men0 ni3 khql2
OECUMENICALISM	ii0 khiw0 men0 ni3 khq1 lis3 svm2
OECUMENICALLY	ii0 khiw0 men0 ni3 khq1 lii2
OECUMENICS	ii0 khiw0 men0 nik1
OEDEMA	ii0 dii0 maa2
OEDEMAS	ii0 dii0 maas2
OEDEMATOUS	ii0 dee0 mq1 tqq2
OEDING	ii0 ding2
OEDIPUS	ii0 di1 phus3
OEDIPUSES	ii0 di1 phus3 ses1
OES	@@s3
OESER	@@s3 sqq2
OESOPHAGEAL	ii0 so1 fq1 ciial2
OESOPHAGI	ii0 so1 fq1 kaaj0
OESOPHAGIS	ii0 so1 fq1 kaaj0
OESOPHAGOUS	ii0 so1 fq1 kqq2
OESOPHAGUS	ii0 so1 fq1 kas3
OESOPHAGUSES	ii0 so1 fq1 khqs3 ses1
OESTER	oos3 tqq2
OESTERLING	oos3 tqq0 ling2
OESTERREICH	oos3 tqq0 raj3
OESTERREICHER	oos3 tqq0 raj3 kqq2
OESTING	oos3 ting2
OESTRAL	iis3 trql2
OESTREICH	iis3 traj3
OESTREICHER	iis3 traj3 kqq2
OESTRIAN	iis3 triian2
OESTRICH	iis3 trich3
OESTRID	iis3 trit1
OESTRIN	iis3 trin2
OESTRINGEN	iis3 tring0 kqn2
OESTRINGER	iis3 tring0 kqq2
OESTROGENIC	iis3 troo0 ceen0 nik1
OESTRONE	iis3 troo0 nii2
OESTROUS	iis3 tras3
OESTRUAL	iis3 truu0 al2
OESTRUATE	iis3 truu0 eet1
OESTRUATION	iis3 truu0 ee0 chan2
OESTRUM	iis3 tram3
OESTRUS	iis3 tras3
OF	@f3
OFF	@@f3
OFF	@@f3
OFFAL	@@f3 fql2
OFFALING	@@f3 fql2 ling2
OFFALS	@@f3 fql2
OFFALY	@@f3 fq1 lii2
OFFBEAT	@@f3 biit3
OFFBEATNESS	@@f3 biit3 nees1
OFFBEATS	@@f3 biit3
OFFCAST	@@f3 kaas3
OFFCUT	@@f3 khat3
OFFED	@@f3
OFFED	@@f3
OFFENBACH	@@f3 fqn1 baak3
OFFENBACHER	@@f3 fqn1 baak3 kqq2
OFFENCE	qf3 feen3
OFFENCED	qf3 feen3
OFFENCELESS	qf3 feen3 lqs1
OFFENCELESSES	qf3 feen3 lqs3 ses1
OFFENCELESSLY	qf3 feen3 lqs3 lii2
OFFENCES	qf3 feen3 ses1
OFFENCIVE	qf3 feen0 siif1
OFFENCIVENESS	qf3 feen0 siif1 nees1
OFFENCIVES	qf3 feen0 siif1
OFFEND	qf3 feen0
OFFENDABLE	qf3 feen0 dee0 bql2
OFFENDANT	qf3 feen0 den3
OFFENDED	qf3 feen0 det1
OFFENDEDLY	qf3 feen0 det1 lii2
OFFENDEDNESS	qf3 feen0 dit1 nees1
OFFENDER	qf3 feen0 dqq2
OFFENDERS	qf3 feen0 dqq2
OFFENDIBLE	qf3 feen0 di1 bql2
OFFENDING	qf3 feen0 ding2
OFFENDRESS	qf3 feen0 dres3
OFFENDS	qf3 feen0
OFFENSE	qf3 feen3
OFFENSED	qf3 feen3
OFFENSELESS	qf3 feen3 lis1
OFFENSELESSES	qf3 feen3 lis3 ses1
OFFENSELESSLY	qf3 feen3 lis1 lii2
OFFENSELY	qf3 feen3 lii2
OFFENSES	qf3 feen3 ses1
OFFENSIBLE	qf3 feen3 sa1 bql2
OFFENSIVE	qf3 feen0 siif1
OFFENSIVELY	qf3 feen0 siif1 lii2
OFFENSIVENESS	qf3 feen0 siif1 nees1
OFFENSIVES	qf3 feen0 siif1
OFFER	@f3 fqq2
OFFERABLE	@f3 fq1 ree0 bql2
OFFERD	@f3 fqqt1
OFFERED	@f3 fqq2
OFFEREDS	@f3 fqq2
OFFERER	@f3 fq1 rqq2
OFFERERED	@f3 fq1 rqq2
OFFERERS	@f3 fq1 rqq2
OFFERES	@f3 fqq2
OFFERING	@f3 fq1 ring2
OFFERINGS	@f3 fq1 ring2
OFFERMAN	@f3 fqq2 mxxn0
OFFERMANN	@f3 fqq2 mxxn0
OFFERMANS	@f3 fqq2 mxxn0
OFFERS	@f3 fqq2
OFFERTORIES	@f3 fq1 thq1 rii2
OFFERTORY	@f3 fq1 thq1 rii2
OFFEST	@@f3 fis3
OFFEST	@@f3 fis1
OFFHAND	@@f3 hxxn0
OFFHANDED	@@f3 hxxn0 det1
OFFHANDEDLY	@@f3 hxxn0 det1 lii2
OFFHANDEDNESS	@@f3 hxxn0 dit1 nees1
OFFHANDISH	@@f3 hxxn0 dich3
OFFHANDNESS	@@f3 hxxn0 nees1
OFFICE	@f3 fis1
OFFICED	@f3 fis3
OFFICEHOLDER	@f3 fis3 h@@l0 dqq2
OFFICEHOLDERS	@f3 fis3 h@@l0 dqq2
OFFICEHOLDING	@f3 fis3 h@@l0 ding2
OFFICEMAX	@f3 fis3 mxk3
OFFICER	@f3 fis3 sqq2
OFFICERED	@f3 fis3 sqt1
OFFICERESS	@f3 fis3 res3
OFFICERING	@f3 fis3 ring2
OFFICERISM	@f3 fis3 ris3 svm2
OFFICERS	@f3 fis3 sqqs2
OFFICES	@f3 fis3 ses1
OFFICIAL	qf3 fi3 chql2
OFFICIALDOM	qf3 fi3 chql2 dqm2
OFFICIALDOMS	qf3 fi3 chql2 dqm2
OFFICIALESE	qf3 fi3 chiial2 lii2
OFFICIALISATION	qf3 fi3 chiial2 laj3 see0 chan2
OFFICIALISED	qf3 fi3 chiial2 laj3
OFFICIALISES	qf3 fi3 chiial2 lis3 ses1
OFFICIALISM	qf3 fi3 chiial2 lis3 svm2
OFFICIALIST	qf3 fi3 chiial2 lis3
OFFICIALITIES	qf3 fi3 chiial0 li3 tii2
OFFICIALITY	qf3 fi3 chiial0 li3 tii2
OFFICIALIZATION	qf3 fi3 chiial2 laj3 see0 chan2
OFFICIALIZE	qf3 fi3 chiial2 laj3
OFFICIALIZES	qf3 fi3 chiial2 laaj0 ses1
OFFICIALIZING	qf3 fi3 chiial2 laj3 sing2
OFFICIALLY	qf3 fi3 chiial2 lii2
OFFICIALS	qf3 fi3 chql2
OFFICIARY	qf3 fi3 chqq0 rii2
OFFICIATE	qf3 fi3 chi1 eet1
OFFICIATED	qf3 fi3 chi1 eet3 thet1
OFFICIATES	qf3 fi3 chi1 eet1
OFFICIATING	qf3 fi3 chi1 eet3 ting2
OFFICIATOR	qf3 fi3 chi1 ee0 tqq2
OFFICINAL	@f3 fi3 saaj0 nql2
OFFICINALIS	@f3 fi3 saaj0 nql2 lis3
OFFICINALLY	@f3 fi3 saaj0 nql2 lii2
OFFICIO	qf3 fi3 chii0 oo2
OFFICIOUS	qf3 fi3 chqq2
OFFICIOUSLY	qf3 fi3 chqs2 lii2
OFFICIOUSNESS	qf3 fi3 chqs2 nees1
OFFILL	@f3 fil2
OFFING	@f3 fing2
OFFINGS	@f3 fing2
OFFINGTON	@f3 fing0 tan2
OFFISH	@f3 fich3
OFFISHLY	@f3 fich3 lii2
OFFISHNESS	@f3 fich3 nees1
OFFLICENCE	@@f3 laaj0 sqn2
OFFLINE	@f3 laaj0
OFFLINED	@f3 laaj0
OFFLINES	@f3 laaj0
OFFLINING	@@f3 laaj0 ning2
OFFLOAD	@@f3 loot1
OFFLOADED	@@f3 loot3 det1
OFFLOADING	@@f3 loot3 ding2
OFFLOADS	@@f3 loot1
OFFPAY	@@f3 pee0
OFFPRINT	@f3 phrin3
OFFPRINTS	@f3 phrin3
OFFPUTTING	@@f3 pat3 ting2
OFFSET	@f3 set1
OFFSETING	@f3 set3 ting2
OFFSETS	@f3 set1
OFFSETTING	@f3 set3 ting2
OFFSHOOT	@f3 chuut3
OFFSHOOTS	@f3 chuut3
OFFSHORE	@f3 ch@@0
OFFSHORE	@f3 ch@@0
OFFSHORES	@f3 ch@@0
OFFSHORES	@f3 ch@@0
OFFSIDE	@@f3 saj3
OFFSIDER	@@f3 saj3 dqq2
OFFSIDES	@@f3 saj3
OFFSPRING	@f3 sa1 pring0
OFFSPRINGS	@f3 sa1 pring0
OFFSTAGE	@f3 sa1 teec1
OFFTRACK	@@f3 thrxk3
OFT	@f3
OFTEN	@f3 fqn2
OFTENED	@f3 fqn2
OFTENER	@f3 fqn2 nqq2
OFTENEST	@f3 fqn2 nis3
OFTENING	@f3 fqn2 ning2
OFTENNESS	@f3 fqn2 nees1
OFTENS	@f3 fqn2
OFTENTIME	@f3 fqn2 thaam0
OFTENTIMES	@@f3 fqn2 thaam0
OFTER	@f3 tqq2
OFTEST	@f3 this3
OFTTIME	@@f3 thaam0
OFTTIMES	@@f3 thaam0
OGAM	oo0 kam2
OGEE	oo0 cii2
OGEES	oo0 cii2
OGHAM	ok3 hqm2
OGIVAL	oo0 caaj0 wql2
OGIVE	oo0 caaj3
OGIVED	oo0 caaj3
OGIVES	oo0 caaj3
OGLE	oo0 khql2
OGLEBAY	oo0 kql2 bee0
OGLED	oo0 kql2
OGLER	oo0 klqq2
OGLERS	oo0 klqq2
OGLES	oo0 kql2
OGLESBEE	oo0 kql2 sa1 bii0
OGLESBY	oo0 kql2 sa1 bii0
OGLETHORPE	oo0 kql2 th@@p3
OGLETREE	oo0 kql2 thrii2
OGLING	oo0 kling2
OGLINGS	oo0 kling2
OGMORE	@k3 m@@0
OGRE	oo0 kqq2
OGRE	oo0 kqq2
OGREISH	oo0 kqq0 rich1
OGREISM	oo0 khq1 ris3 svm2
OGRES	oo0 kqq2
OGRESS	oo0 kres3
OGRESSES	oo0 kres3 ses1
OGRISH	oo0 kqq0 rich1
OGRISHLY	oo0 kqq0 rich3 lii2
OH	oo0
OHING	oo0 ing2
OHIO	oo0 haaj0 oo2
OHLONE	@@l0 loon0
OHLONES	@@l0 loon0
OHM	oom0
OHMAGE	oo0 meec1
OHMAGES	oo0 meec3 cis1
OHMAN	oo0 mxxn0
OHMANN	oo0 mxxn0
OHMER	oo0 mqq2
OHMMETER	oo0 mii3 tqq2
OHMMETERS	oo0 mii3 tqq2
OHMS	oom0
OHO	oo2 hoo0
OIL	@@j0
OILBIRDS	@@j0 bqqt3
OILCAN	@@j0 khxxn0
OILCANS	@@j0 khxxn0
OILCLOTH	@@j0 khloot3
OILCLOTHS	@@j0 khloot3
OILCUP	@@j0 khap2
OILCUPS	@@j0 khap2
OILED	@@j0
OILER	@@j0 lqq2
OILERS	@@j0 lqq2
OILFIELD	@@j0 fiil0
OILFIELDS	@@j0 fiil0
OILFIRED	@@j0 faaj0 qq2
OILHEATING	@@j0 hiit3 ting2
OILHOLE	@@j0 hool0
OILIER	@@j0 li1 qq2
OILIES	@@j0 lii2
OILIEST	@@j0 li1 es1
OILINESS	@@j0 li3 nees1
OILING	@@j0 ling2
OILMAN	@@j0 mxn2
OILMEN	@@j0 men2
OILPAPERS	@@j0 phee0 phqq2
OILS	@@j0
OILSEED	@@j0 siit3
OILSEEDS	@@j0 siit3
OILSKIN	@@j0 sa1 kin0
OILSKINNED	@@j0 sa1 kin0
OILSKINS	@@j0 sa1 kin0
OILSTONE	@@j0 sa1 toon0
OILSTONES	@@j0 sa1 toon0
OILWAY	@@j0 wee0
OILWELL	@@j0 weel0
OILWELLS	@@j0 weel0
OILY	@@j0 lii2
OINTER	@@j0 tqq2
OINTMENT	@@j3 men3
OINTMENTS	@@j3 men3
OKAPI	oo0 kaa0 phii2
OKAPIS	oo0 kaa0 phis1
OKAY	oo0 khee0
OKAYED	oo0 kheet1
OKAYING	oo0 khee0 ing2
OKAYS	oo0 khees1
OKLAHOMA	oo0 khlq1 hoo0 maa2
OKLAHOMAS	oo0 khlq1 hoo0 maas2
OKRA	oo0 khrqq2
OKRAS	oo0 khras2
OLD	ool0
OLDEMAN	ool0 dq1 mxxn0
OLDEN	ool0 dqn2
OLDENBERG	ool0 dqn1 bqqk1
OLDENBURG	ool0 dqn1 bqqk1
OLDENBURGS	ool0 dqn1 bqqk1
OLDER	ool0 dqq2
OLDERADO	ool0 dqq0 rq1 doo2
OLDERS	ool0 dqq2
OLDEST	ool0 des1
OLDESTS	ool0 des1
OLDFATHER	ool0 faa3 dqq2
OLDFIELD	ool0 fiil0
OLDFIELDS	ool0 fiil0
OLDFISH	ool0 fich3
OLDHAM	ool0 dqm2
OLDHAMS	ool0 dqm2
OLDIER	ool0 diia0
OLDING	ool0 ding2
OLDISH	ool0 dich1
OLDLAND	ool0 lxxn0
OLDLANDING	ool0 lxxn0 ding2
OLDLANDS	ool0 lxxn0
OLDLINE	ool0 laaj0
OLDNESS	ool0 nees1
OLDNESSES	ool0 nes3 ses1
OLDRICH	ool0 drich1
OLDRICK	ool0 drik1
OLDRIDGE	ool0 dric1
OLDROYD	ool0 dr@@j0
OLDSON	ool0 san2
OLDSTER	ool0 sa1 tqq2
OLDSTERS	ool0 sa1 tqq2
OLDSTONE	ool0 sa1 toon0
OLDSTYLES	ool0 sa1 taaj0
OLEAGINE	ool0 li3 x1 cin2
OLEAGINOUS	ool0 li3 x1 ci1 nees1
OLEAGINOUSLY	ool0 li3 x1 ci1 nqs3 lii2
OLEAGINOUSNESS	ool0 li3 x1 ci1 nqs3 nees1
OLEANDER	ool0 li3 xxn0 dqq2
OLEANDERS	ool0 li3 xxn0 dqq2
OLEANDRIN	ool0 li3 xxn0 dqq0 rin2
OLEASTER	ool0 li3 xs3 tqq2
OLEFIANT	ool0 li3 faaj0 en3
OLEFINE	ool0 li3 faaj0
OLEFINES	ool0 li3 faaj0
OLEOGRAPH	ool0 lii0 oo0 kraaf3
OLEOGRAPHER	ool0 lii0 oo0 kraaf3 fqq2
OLEOGRAPHIC	ool0 lii0 oo0 kraaf3 fik1
OLEOGRAPHS	ool0 lii0 oo0 kraaf3
OLEOGRAPHY	ool0 li3 oo0 krq1 fii2
OLEOMARGARINE	ool0 lii0 oo0 maa0 cq1 riin0
OLEOS	ool0 lii0 oos2
OLFACT	@@l0 fxk1
OLFACTIBLE	@@l0 fxk3 thi1 bql2
OLFACTION	@@l0 fxk3 chan2
OLFACTIONS	@@l0 fxk3 chan2
OLFACTIVE	@@l0 fxk3 thiif1
OLFACTO	@@l0 fxk3 thoo2
OLFACTOLOGY	@@l0 fxk3 thool0 lq1 cii2
OLFACTOMETER	@@l0 fxk3 thoo0 mi3 tqq2
OLFACTOMETERS	@@l0 fxk3 thoo0 mi3 tqq2
OLFACTOMETRIC	@@l0 fxk3 thoo0 met3 thrik1
OLFACTOR	@@l0 fxk3 tqq2
OLFACTORIES	@@l0 fxk3 tq1 ris1
OLFACTORILY	@@l0 fxk3 thqq0 ri1 lii2
OLFACTORY	@@l0 fxk3 tq1 rii2
OLFACTS	@@l0 fxk1
OLIBANUM	oo0 li3 bqq0 nqm2
OLIBANUMS	oo0 li3 bqq0 nqm2
OLICK	oo0 lik3
OLIGARCH	oo0 li1 kaak3
OLIGARCHAL	oo0 li1 kaa0 khql2
OLIGARCHIC	oo0 li1 kaa0 khik1
OLIGARCHICAL	oo0 li1 kaa0 khi3 khql2
OLIGARCHICALLY	oo0 li1 kaa0 khi3 khq1 lii2
OLIGARCHIES	oo0 li1 kaa0 khii2
OLIGARCHISM	oo0 li1 kaa0 khis3 svm2
OLIGARCHS	oo0 li1 kaak3
OLIGARCHY	oo0 li1 kaak3 kii2
OLIGOCENE	oo0 li1 kh@@s3 siin0
OLIGURIA	oo0 li1 kuua0 riia0
OLIGURIC	oo0 li1 kuua0 rik1
OLINDA	oo0 lin0 dqq2
OLINDER	oo0 lin0 dqq2
OLINICK	oo0 lin0 nik1
OLIO	oo0 lii0 oo2
OLIOS	oo0 lii0 oos2
OLIVACEOUS	oo0 li3 wee0 chqq2
OLIVANT	oo0 li3 wxxn3
OLIVARY	oo0 li3 wqq0 rii2
OLIVE	oo0 lif3
OLIVED	oo0 lif3
OLIVEIRA	oo0 li3 wiia0 rqq2
OLIVEIRAS	oo0 li3 wiia0 rqqs2
OLIVER	oo0 li3 wqq2
OLIVERASES	oo0 li3 wq1 rees3 ses1
OLIVERIA	oo0 li3 wqq0 riia0
OLIVERIAN	oo0 li3 wqq0 riian2
OLIVERIO	oo0 li3 wqq0 ri3 oo2
OLIVERS	oo0 li3 wqq2
OLIVERY	oo0 li3 wqq0 rii2
OLIVES	oo0 lif3
OLIVIA	a1 li3 wiia0
OLIVIAS	a1 li3 wiias2
OLIVINE	oo0 li3 wiin0
OLIVINES	oo0 li3 wiin0
OLIVINO	oo0 li3 wiin0 noo2
OLLAR	@@l0 laa2
OLLARD	@@l0 laat1
OLLARS	@@l0 laas2
OLLAS	@@l0 laas2
OLLER	@@l0 lqq2
OLLERTON	@@l0 lqq0 than2
OLLIE	@@l0 lii2
OLLIED	@@l0 lii2
OLLIEING	@@l0 lii0 ing2
OLLIER	@@l0 li1 qq2
OLLIES	@@l0 lii2
OLOGIES	oo0 lq1 cii2
OLOGIST	oo0 lq1 cis3
OLOGISTIC	oo0 lq1 cis3 tik1
OLOGISTS	oo0 lq1 cis3
OLOGRAPH	oo0 lq1 kraaf3
OLOGY	oo0 lq1 cii2
OLYMPIAD	a1 lim0 pi1 xxt1
OLYMPIADS	a1 lim0 pi1 xxt1
OLYMPIAN	a1 lim0 piian2
OLYMPIANISM	a1 lim0 piian2 nis3 svm2
OLYMPIANS	a1 lim0 piian2
OLYMPIAS	a1 lim0 pi1 xs3
OLYMPIC	a1 lim0 pik1
OLYMPICALLY	a1 lim0 pik1 khq1 lii2
OLYMPICKING	a1 lim0 pik1 king2
OLYMPICS	a1 lim0 pik1
OLYNTHIAC	oo0 lin0 thi1 xk1
