DA	daa0
DENBOER	deen0 b@@0 rqq2
DENBOW	deen0 boo2
DENBY	deen0 bii2
DENDEN	deen0 deen2
DENDER	deen0 dqq2
DENDERA	deen0 dqq0 rqq2
DENDINGER	deen0 ding0 kqq2
DENDIX	deen0 dik1
DENDLER	deen0 dql0 rqq2
DENDRIC	deen0 drik1
DENDRICA	deen0 drii0 kaa2
DENDRIFORM	deen0 dri3 f@@m0
DENDRITE	deen0 draj3
DENDRITES	deen0 draj3
DENDRO	deen0 droo2
DENDROBATES	deen0 droo0 beet1
DENDROBE	deen0 dr@@p3
DENDROCEPHALUS	deen0 dr@@0 sa1 fql0 lqq2
DENDROCHRONOLOGIST	deen0 dr@@0 krql0 nool0 loo0 cis3
DENDROCHRONOLOGY	deen0 dr@@0 krql0 nool0 loo0 cii2
DENDROCLASTIC	deen0 dr@@0 klxs3 tik1
DENDROCLIMATOLOGY	deen0 dr@@0 klaaj0 mql0 thoo0 loo0 cii2
DENDROGRAM	deen0 dr@@0 krxxm2
DENDROGRAMS	deen0 dr@@0 krxxm0
DENDROGRAPHY	deen0 dr@@0 rql0 fii2
DENDROID	deen0 dr@@j0
DENDROIDAL	deen0 dr@@j0 dql2
DENDROIDES	deen0 dr@@j0
DENDROIDS	deen0 dr@@j0
DENDROLOGIC	deen0 droo0 l@@0 cik1
DENDROLOGICAL	deen0 dr@@0 loo0 ci1 khql2
DENDROLOGIST	deen0 droo0 loo0 cis3
DENDROLOGISTS	deen0 droo0 loo0 cis3
DENDROLOGOUS	deen0 droo0 loo0 kqq2
DENDROLOGY	deen0 droo0 loo0 cii2
DENDRON	deen0 drqn2
DENDRONS	deen0 drqn2
DENDROS	deen0 droos2
DENDY	deen0 dii2
DENE	diin0
DENEAU	dii0 noo2
DENEGATE	dii0 kheet1
DENEKE	dii0 niik1
DENEMARK	dii0 maak3
DENEND	dii0 neen3
DENES	diin0
DENEST	deen0 nis3
DENEVE	deen0 niif3 
DENEVES	deen0 niif3 
DENGEL	deen0 ceel0
DENGER	deen0 cqq2
DENGUE	deen0 kii2
DENGUES	deen0 kii2
DENHAM	deen0 hxxm2
DENHART	deen0 haat3
DENHERDER	deen0 hqqt3 dqq2
DENHOLM	deen0 hoom0
DENIABLE	dii0 naaj0 qq0 bql2
DENIABLY	dii0 naaj0 qq0 blii2
DENIAL	dii0 naaj0 ql2
DENIALS	dii0 naaj0 ql2
DENICE	dii0 naj3
DENIED	dii0 naaj0
DENIER	deen0 niia0
DENIERS	deen0 niia0 qq2
DENIGRATE	deen0 ni3 kreet1
DENIGRATED	deen0 ni3 kreet3 thet1
DENIGRATES	deen0 ni3 kreet1
DENIGRATING	deen0 ni3 kreet1 ting2
DENIGRATION	deen0 ni3 kree0 chan0
DENIGRATIONS	deen0 ni3 kree0 chan0
DENIGRATOR	deen0 ni3 kreet1 thqq2
DENIGRATORS	deen0 ni3 kree0 tqq2
DENIGRIS	deen0 ni3 kris1
DENIKE	dee0 naj3
DENIKER	dee0 naj3 kqq2
DENIKER	dee0 naj3 kqq2
DENIM	dee0 nim2
DENIMED	dee0 ni3 mit1
DENIMS	dee0 nim2
DENING	dee0 ning2
DENINGER	dee0 ning2 kqq2
DENINGTON	dee0 ning2 tan2
DENINSKI	dee0 nin0 sa1 kii2
DENIS	dee0 nees1
DENISE	dee0 niis3
DENISLAV	dee0 nis1 lxf3 
DENISON	dee0 ni3 sqn2
DENISTON	dee0 nis3 tan2
DENISTRY	dee0 nis3 trii2
DENIZEN	dee0 ni3 sqn2
DENIZENS	dee0 ni3 sqn2
DENIZENSHIP	dee0 ni3 sqn2 chip3
DENKEN	den0 keen0
DENKIN	den0 kin2
DENKINS	den0 kin2
DENLEA	den0 lii2
DENLEY	den0 lee2
DENLINGER	den0 ling0 kqq2
DENMAN	den0 mxxn0
DENMANS	den0 mxxn0
DENMARK	den0 maak1
DENNARD	den0 naat1
DENNED	den0 net1
DENNELL	den0 neel0
DENNET	den0 net1
DENNETH	den0 niit1
DENNETT	den0 net1
DENNICE	den0 niis3
DENNICK	den0 nik1
DENNING	den0 ning2
DENNINGER	den0 ning2 kqq2
DENNINGHAM	den0 ning2 hxxm2
DENNINGS	den0 ning2
DENNINGTON	den0 ning2 tan2
DENNIS	den0 nees1
DENNISES	den0 nis1 ses1
DENNISON	den0 ni3 san2
DENNISTON	den0 nis3 tan2
DENNY	den0 nii2
DENNYS	den0 niis3
DENOMINABLE	dii0 n@@m0 mi3 nql0 bql2
DENOMINATE	dii0 n@@m0 mi3 neet1
DENOMINATED	dii0 n@@m0 mi3 neet3 thet1
DENOMINATES	dii0 n@@m0 mi3 neet1
DENOMINATING	dii0 n@@m0 mi3 neet3 ting2
DENOMINATION	dii0 n@@m0 mi3 nee0 chan0
DENOMINATIONAL	dii0 n@@m0 mi3 nee0 chan0 nal0
DENOMINATIONALISES	dii0 n@@m0 mi3 nee0 chan0 nal0 lis3 ses1
DENOMINATIONALISM	dii0 n@@m0 mi3 nee0 chan0 nal0 lis3 svm2
DENOMINATIONALIST	dii0 n@@m0 mi3 nee0 chan0 nal0 lis3
DENOMINATIONALISTS	dii0 n@@m0 mi3 nee0 chan0 nal0 lis3
DENOMINATIONALIZE	dii0 n@@m0 mi3 nee0 chan0 nqs1 laj3
DENOMINATIONALIZES	dii0 n@@m0 mi3 nee0 chan0 nqs1 laaj0 ses1
DENOMINATIONALLY	dii0 n@@m0 mi3 nee0 chan0 nal0 lii2
DENOMINATIONS	dii0 n@@m0 mi3 nee0 chan0
DENOMINATIVE	dii0 n@@m0 mi3 nee0 thiif1
DENOMINATIVELY	dii0 n@@m0 mi3 nee0 thiif1 lii2
DENOMINATON	dii0 n@@m0 mi3 nee0 than2
DENOMINATOR	dii0 n@@m0 mi3 nee0 tqq2
DENOMINATORS	dii0 n@@m0 mi3 nee0 tqq2
DENOTABLE	dii0 noot3 thi1 bql2
DENOTATED	dii0 noot3 thql0 theet3
DENOTATION	dii0 noot3 thqq0 chan0
DENOTATIONAL	dii0 noot3 thqq0 chan0 nxl0
DENOTATIONALLY	dii0 noot3 thqq0 chan0 neel0 laaj0
DENOTATIONS	dii0 noot3 thqq0 chan0
DENOTATIVE	dii0 noot3 theet3 thiif1
DENOTATIVELY	dii0 noot3 theet3 thiif1 lii2
DENOTATIVENESS	dii0 noot3 theet3 thiif1 nees1
DENOTE	dii0 noot3
DENOTED	dii0 noot3 thet1
DENOTES	dii0 noot3
DENOTIFIED	dii0 noot3 thi1 faaj3 it1
DENOTING	dii0 noot3 ting2
DENOTIVE	dii0 noot3 thiif1
DENOUNCE	dii0 naaw0
DENOUNCED	dii0 naaw3 sit2
DENOUNCEMENT	dii0 naaw3 men3
DENOUNCEMENTS	dii0 naaw3 men3
DENOUNCER	dii0 naaw3 sqq2
DENOUNCERS	dii0 naaw3 sqqs2
DENOUNCES	dii0 naaw3 ses1
DENOUNCIATIONS	dii0 naaw3 si1 ee0 chan0
DENOUNCING	dii0 naaw3 sing2
DENOYER	dee0 n@@j0 qq2
DENS	deen3
DENSE	deen3
DENSELY	deen0 sa1 lii2
DENSEN	deen0 sqn2
DENSENESS	deen0 sqn1 nees1
DENSENSITIZED	deen0 sit3 thaj3
DENSER	deen0 sqq2
DENSEST	deen0 ses1
DENSHAW	deen0 ch@@0
DENSHIN	deen0 chin0
DENSIFICATION	deen0 siif1 fi1 khee0 chan0
DENSIFIED	deen0 si1 faaj3 it1
DENSIFIER	deen0 si1 faaj0 qq2
DENSIFIES	deen0 si1 faaj3
DENSIFY	deen0 si1 faaj0
DENSIFYING	deen0 si1 faaj0 ing2
DENSIGN	deen0 saaj0
DENSIL	deen0 sil0
DENSIS	deen0 sis1
DENSITIES	deen0 si3 tii2
DENSITY	deen0 si3 tii2
DENSIVE	deen0 siif1
DENSLEY	deen0 lee2
DENSLOW	deen0 sa1 loo2
DENSMORE	deen0 sa1 m@@0
DENSON	deen0 san2
DENSONS	deen0 san2
DENSTONE	deen0 sa1 toon0
DENSWORTH	deen0 sa1 wqqt1
DENT	deen3
DENTAL	deen0 thql2
DENTALE	deen0 theel0
DENTALISATION	deen0 thql0 laj3 see0 chan0
DENTALISES	deen0 thql0 lis3 ses1
DENTALISM	deen0 thql0 lis3 svm2
DENTALITY	deen0 th@l2 li3 tii2
DENTALIZATION	deen0 tql0 laj3 see0 chan0
DENTALIZE	deen0 tql0 laj3
DENTALIZES	deen0 tql0 laaj0 ses1
DENTALLY	deen0 thxx0 lii2
DENTALS	deen0 thql2
DENTALWORK	deen0 thql0 wqqk3
DENTAN	deen0 thxxn0
DENTATE	deen0 theet1
DENTATED	deen0 thqq0 thet1
DENTATION	deen0 thqq0 chan0
DENTE	deen0 tii2
DENTEC	deen0 thek1
DENTECH	deen0 thek1
DENTED	deen0 thet1
DENTEL	deen0 theel0
DENTELLE	deen0 theel0
DENTELLES	deen0 theel0
DENTELLIGENT	deen0 teel0 lic1 cen3
DENTER	deen0 tqq2
DENTER	deen0 tqq2
DENTERS	deen0 tqq2
DENTES	deen0 tes1
DENTEX	deen0 thek1
DENTIAL	deen0 chiial0
DENTICAL	deen0 ti1 khql2
DENTICATE	deen0 ti1 kheet1
DENTICLE	deen0 ti1 khql2
DENTICLES	deen0 ti1 kql2
DENTICON	deen0 ti1 khqn2
DENTICULAR	deen0 ti1 khiw0 lqq2
DENTICULATE	deen0 ti1 khiw0 lqt2
DENTICULATED	deen0 ti1 khiw0 lee0 thet1
DENTICULATELY	deen0 ti1 khiw0 lqt3 lii2
DENTICULATION	deen0 ti1 khiw0 lee0 chan0
DENTICULATUM	deen0 ti1 khiw0 lee0 th@m2
DENTICULATUS	deen0 ti1 khiw0 lee0 tqq2
DENTICULE	deen0 ti1 khuul0
DENTIFEROUS	deen0 ti1 fql0 rqqs2
DENTIFICATION	deen0 thi1 fi3 khee0 chan0
DENTIFIED	deen0 thi1 faaj3 it1
DENTIFORM	deen0 ti1 f@@m0
DENTIFRICE	deen0 ti1 fraj3
DENTIFRICES	deen0 ti1 fraj3 ses1
DENTIFY	deen0 ti1 faaj0
DENTIL	deen0 til0
DENTILATED	deen0 thil0 lee0 thet1
DENTILATION	deen0 thil0 lee0 chan0
DENTILE	deen0 thaaj0
DENTILINGUAL	deen0 thil0 ling0 kuua2
DENTILS	deen0 thil0
DENTIN	deen0 thin0
DENTINAL	deen0 ti1 nal0
DENTINE	deen0 thiin0
DENTINES	deen0 thiin0
DENTING	deen0 ting2
DENTINGER	deen0 ting2 kqq2
DENTINGER	deen0 ting2 kqq2
DENTINO	deen0 thii0 noo2
DENTINS	deen0 thin0
DENTINUM	deen0 ti1 n@m2
DENTIST	deen0 this3
DENTISTIC	deen0 tis3 tik1
DENTISTICAL	deen0 tis3 ti1 khql2
DENTISTRIES	deen0 tis3 tris1
DENTISTRY	deen0 tis3 trii2
DENTISTS	deen0 this3
DENTITION	deen0 ti1 chan0
DENTITIONS	deen0 ti1 chan0
DENTIUM	deen0 thiiam2
DENTLER	deen0 thql0 lqq2
DENTLESS	deen0 thql0 les1
DENTLEY	deen0 thql0 lee2
DENTLINGER	deen0 thql0 ling0 kqq2
DENTLY	deen0 thql2 lii2
DENTON	deen0 tan2
DENTONS	deen0 tan2
DENTRAL	deen0 thral0
DENTREMONT	deen0 tql0 m@@n3
DENTRO	deen0 throo2
DENTS	deen3
DENTSON	deen0 san2
DENTTON	deen0 tan2
DENTURE	deen0 chqq2
DENTURES	deen0 chqq2
DENTURIST	deen0 chqq2 ris3
DENTURISTS	deen0 chqq2 ris3
DENUDATION	dii0 niw0 dee0 chan0
DENUDATIONAL	dii0 niw0 dee0 chan0 nxl0
DENUDATIONS	dii0 niw0 dee0 chan0
DENUDE	dii0 nuut3
DENUDED	dii0 nuut3 det1
DENUDER	dii0 nuut3 dqq2
DENUDERS	dii0 nuut3 dqs2
DENUDES	dii0 nuut3 des1
DENUDIATION	dii0 nuu0 dii0 ee0 chan0
DENUDING	dii0 nuut3 ding2
DENUMERATION	dii0 nuu0 mql0 ree0 chan0
DENUNCIABLE	dii0 nan0 chiia0 bql2
DENUNCIATE	dii0 nan0 si1 eet1
DENUNCIATED	dii0 nan0 si1 eet3 thet1
DENUNCIATES	dii0 nan0 si1 eet1
DENUNCIATING	dii0 nan0 si1 eet3 ting2
DENUNCIATION	dii0 nan0 si1 ee0 chan0
DENUNCIATIONISTS	dii0 nan0 si1 ee0 chan0 nis3
DENUNCIATIONS	dii0 nan0 si1 ee0 chan0
DENUNCIATIVE	dii0 nan0 si1 ee0 thiif1
DENUNCIATIVELY	dii0 nan0 si1 ee0 thiif1 lii2
DENUNCIATOR	dii0 nan0 si1 ee3 tqq2
DENUNCIATORY	dii0 nan0 si1 ee0 thql0 rii2
DENVER	deen0 wqq2
DENWAY	deen0 wee0
DENWELL	deen0 weel0
DENWEST	deen0 wes3
DENWICK	deen0 wik3
DENWOOD	deen0 wuut3
DENY	dii0 naaj0
DENYED	dii0 naaj0 it1
DENYING	dii0 naaj0 ing2
DENYS	dii0 naj3
DENZENE	deen0 siin0
DENZINGER	deen0 sing2 kqq2
DEODAND	dii0 @@0 dxxn3
DEODAR	dii0 @@0 daa0
DEODARA	dii0 @@0 daa0 raa2
DEODARS	dii0 @@0 daas2
DEODORANT	dii0 @@0 doo0 ren3
DEODORANTS	dii0 @@0 doo0 ren3
DEODORISATION	dii0 @@0 doo0 raj3 see0 chan0
DEODORISE	dii0 @@0 doo0 raj3
DEODORISED	dii0 @@0 doo0 raj3 sit1
DEODORISER	dii0 @@0 doo0 raj3 sqq2
DEODORISES	dii0 @@0 doo0 raj3 ses1
DEODORISING	dii0 @@0 doo0 raj3 sing2
DEODORIZATION	dii0 @@0 doo0 raj3 see0 chan0
DEODORIZE	dii0 @@0 doo0 raj3
DEODORIZED	dii0 @@0 doo0 raj3 sit1
DEODORIZER	dii0 @@0 doo0 raj3 sqq2
DEODORIZERS	dii0 @@0 doo0 raj3 sqqs2
DEODORIZES	dii0 @@0 doo0 raj3 ses1
DEODORIZING	dii0 @@0 doo0 raj3 sing2
DEOING	dii0 @@0 ing2
DEOXIDATE	dii0 @k3 si1 deet1
DEOXIDATION	dii0 @k3 si1 dee0 chan0
DEOXIDATIVE	dii0 @k3 si1 deet1 thiif1
DEOXIDATOR	dii0 @k3 si1 deet1 tqq2
DEOXIDISER	dii0 @k3 si1 daaj3 sqq2
DEOXIDIZATION	dii0 @k3 si1 daaj3 see0 chan0
DEOXIDIZE	dii0 @k3 si1 daaj3
DEOXIDIZED	dii0 @k3 si1 daaj3 sit1
DEOXIDIZER	dii0 @k3 si1 daaj3 sqq2
DEOXIDIZERS	dii0 @k3 si1 daaj3 sqqs2
DEOXIDIZES	dii0 @k3 si1 daaj0 ses1
DEOXIDIZING	dii0 @k3 si1 daaj3 sing2
DEP	dep3
DEPACE	dii0 phees1
DEPALMA	dii0 phaal0 maa2
DEPARK	dii0 phaak3
DEPART	dii0 phaat3
DEPARTED	dii0 phaat3 thet1
DEPARTER	dii0 phaat3 thqq2
DEPARTERS	dii0 phaat3 tqq2
DEPARTING	dii0 phaat3 ting2
DEPARTITION	dii0 phaat3 thi3 chan0
DEPARTMEN	dii0 phaat3 mqn2
DEPARTMENS	dii0 phaat3 mqn2
DEPARTMENT	dii0 phaat3 men3
DEPARTMENTAL	dii0 phaat3 men0 thql2
DEPARTMENTALISATION	dii0 phaat3 men0 thql0 laj3 see0 chan0
DEPARTMENTALISED	dii0 phaat3 men0 thql0 laj3
DEPARTMENTALISES	dii0 phaat3 men0 thql0 lis3 ses1
DEPARTMENTALISM	dii0 phaat3 men0 thql0 lis3 svm2
DEPARTMENTALIZATION	dii0 phaat3 men0 thql0 laj3 see0 chan0
DEPARTMENTALIZE	dii0 phaat3 men0 thql0 laj3
DEPARTMENTALIZED	dii0 phaat3 men0 thql0 laj3
DEPARTMENTALIZES	dii0 phaat3 men0 thql0 laaj0 ses1
DEPARTMENTALIZING	dii0 phaat3 men0 thql0 laj3 sing2
DEPARTMENTALLY	dii0 phaat3 men0 thql2 lii2
DEPARTMENTAND	dii0 phaat3 mqn2 tan2
DEPARTMENTATING	dii0 phaat3 mqn2 txx0 ting2
DEPARTMENTATION	dii0 phaat3 men0 thqq0 chan0
DEPARTMENTESE	dii0 phaat3 mqn2 tii2
DEPARTMENTISES	dii0 phaat3 mqn2 tis3 ses1
DEPARTMENTIZATION	dii0 phaat3 mqn2 taaj3 see0 chan0
DEPARTMENTIZE	dii0 phaat3 mqn2 taaj3
DEPARTMENTIZES	dii0 phaat3 mqn2 taaj0 ses1
DEPARTMENTLY	dii0 phaat3 mqn2 thql2 lii2
DEPARTMENTS	dii0 phaat3 men3
DEPARTS	dii0 phaat3
DEPARTURE	dii0 phaa0 chqq2
DEPARTURES	dii0 phaa0 chqq2
DEPASS	dii0 phaas3
DEPASSE	dii0 phaas3
DEPASTURABLE	dii0 phaas3 chqq0 rql0 bql2
DEPASTURAGE	dii0 phaas3 chqq0 reet2
DEPASTURE	dii0 phaas3 chqq2
DEPAUL	dee0 phool0
DEPAULA	dee0 phoo0 lqq2
DEPAUPERATE	dii0 ph@@0 phql0 reet1
DEPAUPERATION	dii0 ph@@0 phql0 ree0 chan0
DEPAUPERIZATION	dii0 ph@@0 phql0 raj3 see0 chan0
DEPAUPERIZE	dii0 ph@@0 phql0 raj3
DEPENCIL	dii0 pheen0 sql2
DEPEND	dii0 pheen0
DEPENDABILITIES	dii0 pheen0 dql0 bi1 li3 tii2
DEPENDABILITY	dii0 pheen0 dql0 bi1 li3 tii2
DEPENDABLE	dii0 pheen0 di1 bql2
DEPENDABLENESS	dii0 pheen0 di1 bql2 nees1
DEPENDABLES	dii0 pheen0 di1 bql2
DEPENDABLY	dii0 pheen0 dql0 blii2
DEPENDANCE	dii0 pheen0 dxxn3
DEPENDANCY	dii0 pheen0 den0 sii2
DEPENDANT	dii0 pheen0 den3
DEPENDANTS	dii0 pheen0 den3
DEPENDE	dii0 pheen0
DEPENDED	dii0 pheen0 det1
DEPENDEN	dii0 pheen0 dqn2
DEPENDENCE	dii0 pheen0 dqn2
DEPENDENCES	dii0 pheen0 den3 ses1
DEPENDENCIES	dii0 pheen0 den3 ses1
DEPENDENCY	dii0 pheen0 den0 sii2
DEPENDENS	dii0 pheen0 dqn2
DEPENDENT	dii0 pheen0 den3
DEPENDENTLY	dii0 pheen0 den3 lii2
DEPENDENTS	dii0 pheen0 den3
DEPENDER	dii0 pheen0 dqq2
DEPENDI	dii0 pheen0 dii2
DEPENDING	dii0 pheen0 ding2
DEPENDINGLY	dii0 pheen0 ding0 lii2
DEPENDON	dii0 pheen0 dqn2
DEPENDS	dii0 pheen0
DEPENSATION	dii0 pheen0 see0 chan0
DEPICKLE	dii0 phi3 khql2
DEPICT	dii0 phik1
DEPICTED	dii0 phi3 thet1
DEPICTER	dii0 phi3 tqq2
DEPICTERS	dii0 phi3 tqs2
DEPICTING	dii0 phi3 ting2
DEPICTION	dii0 phi3 chan0
DEPICTIONS	dii0 phi3 chan0
DEPICTOR	dii0 phi3 tqq2
DEPICTORS	dii0 phi3 tqs2
DEPICTS	dii0 phik1
DEPICTURE	dii0 phi3 chqq2
DEPILATE	dii0 phil0 leet1
DEPILATED	dii0 phil0 lee0 thet1
DEPILATES	dii0 phil0 leet1
DEPILATING	dii0 phil0 leet3 ting2
DEPILATION	dii0 phil0 lee0 chan0
DEPILATOR	dii0 phil0 lee0 thqq2
DEPILATORIES	dii0 phil0 lqt3 th@@0 rii2
DEPILATORY	dii0 phil0 lqt3 thrii2
DEPINTO	dii0 phin0 too2
DEPLACEABLE	dii0 lee0 sa1 bql2
DEPLACEMENT	dii0 lee0 men3
DEPLACEMENTS	dii0 lee0 men3
DEPLANE	dii0 pleen0
DEPLANED	dii0 pleen0 nit1
DEPLANES	dii0 pleen0 nees1
DEPLANING	dii0 pleen0 ning2
DEPLEDGE	dii0 pleet1
DEPLENDING	dii0 pleen0 ding2
DEPLENISH	dii0 pleen0 nich1
DEPLETE	dii0 pliit3
DEPLETED	dii0 pliit3 thet1
DEPLETER	dii0 pliit3 thqq2
DEPLETERS	dii0 pliit3 tqq2
DEPLETES	dii0 pliit3 tes1
DEPLETING	dii0 pliit3 ting2
DEPLETION	dii0 pliit3 chan0
DEPLETIONS	dii0 pliit3 chan0
DEPLETIVE	dii0 pliit3 thiif1
DEPLETORY	dii0 pliit3 thql0 rii2
DEPLOMACY	dii0 pl@@0 mqs2 sii2
DEPLORA	dii0 pl@@0 rqq2
DEPLORABILITY	dii0 pl@@0 rql0 bi1 li3 tii2
DEPLORABLE	dii0 pl@@0 rql0 bql2
DEPLORABLENESS	dii0 pl@@0 rql0 bql2 nees1
DEPLORABLY	dii0 pl@@0 rql0 blii2
DEPLORAR	dii0 pl@@0 rql0 rqq2
DEPLORE	dii0 pl@@0
DEPLORED	dii0 pl@@0 rit1
DEPLORER	dii0 pl@@0 rqq2
DEPLORERS	dii0 pl@@0 rqqs2
DEPLORES	dii0 pl@@0 res1
DEPLORING	dii0 pl@@0 ring2
DEPLORINGLY	dii0 pl@@0 ring2 lii2
DEPLOY	dii0 pl@@j0
DEPLOYABLE	dii0 pl@@j0 qq0 bql2
DEPLOYED	dii0 pl@@j0 it1
DEPLOYING	dii0 pl@@j0 ing2
DEPLOYMENT	dii0 pl@@j0 men3
DEPLOYMENTS	dii0 pl@@j0 men3
DEPLOYS	dii0 pl@@j3
DEPOLARISATION	dii0 phoo0 loo0 raj3 see0 chan0
DEPOLARISE	dii0 phoo0 loo0 raj3
DEPOLARISED	dii0 phoo0 loo0 raj3
DEPOLARISER	dii0 phoo0 loo0 raj3 sqq2
DEPOLARISERS	dii0 phoo0 loo0 raj3 sqqs2
DEPOLARISES	dii0 phoo0 lxx0 ris3 ses1
DEPOLARISING	dii0 phoo0 lxx0 ris3 sing2
DEPOLARIZATION	dii0 phoo0 loo0 raj3 see0 chan0
DEPOLARIZE	dii0 phoo0 loo0 raj3
DEPOLARIZED	dii0 phoo0 loo0 raj3 sit1
DEPOLARIZER	dii0 phoo0 loo0 raj3 sqq2
DEPOLARIZERS	dii0 phoo0 loo0 raj3 sqqs2
DEPOLARIZES	dii0 phoo0 loo0 raj3 ses1
DEPOLARIZING	dii0 phoo0 loo0 raj3 sing2
DEPOLO	dii0 phoo0 loo2
DEPONE	dii0 ph@@n0
DEPONED	dii0 ph@@n0 nit1
DEPONENT	dii0 ph@@n0 nen3
DEPONENTS	dii0 ph@@n0 nen3
DEPONES	dii0 ph@@n0
DEPOPULARIZE	dii0 ph@p3 phuu0 loo0 raj3
DEPOPULATE	dii0 ph@p3 phuu0 leet1
DEPOPULATED	dii0 ph@p3 phuu0 lee0 thet1
DEPOPULATES	dii0 ph@p3 phuu0 leet1
DEPOPULATING	dii0 ph@p3 phuu0 leet3 ting2
DEPOPULATION	dii0 ph@p3 phuu0 lee0 chan0
DEPOPULATIONS	dii0 ph@p3 phuu0 lee0 chan0
DEPOPULATIVE	dii0 ph@p3 phuu0 lee0 thiif1
DEPOPULATOR	dii0 ph@p3 phuu0 lee0 tqq2
DEPOPULATORS	dii0 ph@p3 phuu0 lee0 tqq2
DEPORATION	dii0 ph@@0 ree0 chan0
DEPORATIONS	dii0 ph@@0 ree0 chan0
DEPORT	dii0 ph@@t1
DEPORTABILITY	dii0 ph@@t1 thql0 bi1 li3 tii2
DEPORTABLE	dii0 ph@@t1 thqq0 bql2
DEPORTATION	dii0 ph@@t1 thqq0 chan0
DEPORTATIONS	dii0 ph@@t1 thqq0 chan0
DEPORTED	dii0 ph@@t3 thet1
DEPORTEE	dii0 ph@@t1 tii2
DEPORTEES	dii0 ph@@t1 tii2
DEPORTER	dii0 ph@@t3 thqq2
DEPORTES	dii0 ph@@t3 thes1
DEPORTING	dii0 ph@@t3 ting2
DEPORTION	dii0 ph@@t3 than2
DEPORTIONS	dii0 ph@@t3 than2
DEPORTMENT	dii0 ph@@t3 men3
DEPORTS	dii0 ph@@t1
DEPOSABLE	dii0 phoos3 bql2
DEPOSAL	dii0 phoos3 sql2
DEPOSALS	dii0 phoos3 sql2
DEPOSE	dii0 phoos3
DEPOSED	dii0 phoos3
DEPOSER	dii0 phoos3 sqq2
DEPOSERS	dii0 phoos3 sqqs2
DEPOSES	dii0 phoos3 ses1
DEPOSING	dii0 phoos3 sing2
DEPOSIT	dep3 phoo0 sit1
DEPOSITARIES	dep3 phoo0 sit3 thql0 rii2
DEPOSITARY	dep3 phoo0 sit3 thql0 rii2
DEPOSITATION	dep3 phoo0 sit3 thqq0 chan0
DEPOSITE	dep3 phoo0 sit1
DEPOSITED	dep3 phoo0 sit3 thet1
DEPOSITES	dep3 phoo0 sit3 thes1
DEPOSITING	dep3 phoo0 sit3 ting2
DEPOSITION	dep3 phoo0 si3 chan0
DEPOSITIONAL	dep3 phoo0 si3 chan0 nal0
DEPOSITIONED	dep3 phoo0 si3 chan0 nit1
DEPOSITIONS	dep3 phoo0 si3 chan0
DEPOSITOR	dep3 phoo0 sit3 thqq2
DEPOSITORIES	dep3 phoo0 sit3 rii2
DEPOSITORS	dep3 phoo0 sit3 tqq2
DEPOSITORY	dep3 phoo0 si1 thql0 rii2
DEPOSITS	dep3 phoo0 sit1
DEPOT	dii0 phoo0
DEPOTS	dii0 phoos3
DEPPEN	dep3 pheen0
DEPPER	dep3 phqq2
DEPPING	dep3 phing2
DEPRAVATION	dep3 phrql0 wee0 chan0
DEPRAVATIONS	dep3 phrql0 wee0 chan0
DEPRAVE	dep3 phreef3 
DEPRAVED	dep3 phreef3 wit2
DEPRAVEDNESS	dep3 phreef3 wit2 nees1
DEPRAVER	dep3 phreef3 wqq2
DEPRAVES	dep3 phreef3 wqs2
DEPRAVING	dep3 phreef3 wing2
DEPRAVINGLY	dep3 phreef3 wing2 lii2
DEPRAVITIES	dep3 phreef3 wi3 tii2
DEPRAVITY	dep3 phreef3 wi3 tii2
DEPRECATE	dep3 phrql0 kheet1
DEPRECATED	dep3 phrql0 kheet3 thet1
DEPRECATES	dep3 phrql0 kheet3 thes1
DEPRECATING	dep3 phrql0 kheet3 ting2
DEPRECATINGLY	dep3 phrql0 kheet3 ting2 lii2
DEPRECATION	dep3 phrql0 kheet3 chan0
DEPRECATIONS	dep3 phrql0 kheet3 chan0
DEPRECATOR	dep3 phrql0 kheet3 thqq2
DEPRECATORS	dep3 phrql0 kheet3 tqq2
DEPRECATORY	dep3 phrql0 kheet3 thql0 rii2
DEPRECIABLE	dep3 phrql0 chi1 ee0 bql2
DEPRECIATE	dep3 phrql0 chi1 eet1
DEPRECIATED	dep3 phrql0 chi1 eet3 thet1
DEPRECIATES	dep3 phrql0 chi1 eet3 thes1
DEPRECIATING	dep3 phrql0 chi1 eet3 ting2
DEPRECIATINGLY	dep3 phrql0 chi1 eet3 ting2 lii2
DEPRECIATION	dep3 phrql0 chi1 ee0 chan0
DEPRECIATIONIST	dep3 phrql0 chi1 ee0 chan0 nis3
DEPRECIATIONS	dep3 phrql0 chi1 ee0 chan0
DEPRECIATIVE	dep3 phrql0 chi1 thiif1
DEPRECIATIVELY	dep3 phrql0 chi1 thiif1 lii2
DEPRECIATOR	dep3 phrql0 chi1 ee0 tqq2
DEPRECIATORS	dep3 phrql0 chi1 ee0 tqq2
DEPRECIATORY	dep3 phrql0 chi1 ee0 thql0 rii2
DEPREDATE	dep3 phrql0 deet1
DEPREDATED	dep3 phrql0 deet3 thet1
DEPREDATES	dep3 phrql0 deet1
DEPREDATING	dep3 phrql0 deet1 ting2
DEPREDATION	dep3 phrql0 deet1 chan0
DEPREDATIONS	dep3 phrql0 deet1 chan0
DEPREDATOR	dep3 phrql0 deet1 thqq2
DEPREDATORS	dep3 phrql0 deet1 tqq2
