PA	phaa0
PENNELLY	phen0 neel0 lii2
PENNET	phen0 net3
PENNICA	phen0 ni1 kaa2
PENNICK	phen0 nik3
PENNIES	phen0 nii2
PENNIFER	phen0 ni1 fqq2
PENNIFEROUS	phen0 ni1 fqq0 ras3
PENNIFORM	phen0 ni1 f@@m0
PENNILESS	phen0 nil0 les1
PENNILESSLY	phen0 nil0 les3 lii2
PENNILESSNESS	phen0 nil0 les3 nees1
PENNINE	phen0 naaj0
PENNINES	phen0 naaj0
PENNING	phen0 ning2
PENNINGER	phen0 ning2 kqq2
PENNINGS	phen0 ning2
PENNINGTON	phen0 ning0 tan2
PENNINGTONS	phen0 ning0 tan2
PENNIS	phen0 nis3
PENNISI	phen0 nis3 sii2
PENNISON	phen0 nis3 san2
PENNISTON	phen0 nis3 tan2
PENNISTONS	phen0 nis3 tan2
PENNIX	phen0 nik1
PENNON	phen0 n@n2
PENNONED	phen0 n@n0 nit1
PENNONS	phen0 n@n2
PENNSYLVANIA	phen0 sil0 waa0 niia0
PENNSYLVANIAN	phen0 sil0 waa0 niian2
PENNSYLVANIANS	phen0 sil0 waa0 niian2
PENNY	phen0 nii0
PENNYPACK	phen0 nii0 phxk3
PENNYPACKER	phen0 nii0 phxk3 kqq2
PENNYROYAL	phen0 nii0 r@@0 j@l2
PENNYROYALS	phen0 nii0 r@@0 j@l2
PENNYS	phen0 nii2
PENNYWAYS	phen0 nii2 wee0
PENNYWEIGHT	phen0 nii2 weet1
PENNYWEIGHTS	phen0 nii2 weet1
PENNYWELL	phen0 nii0 weel0
PENNYWISE	phen0 nii2 waaj3
PENNYWORTH	phen0 nii2 wqqt3
PENNYWORTHS	phen0 nii2 wqqt3
PENOLOGIES	phen0 nool0 loo0 cii2
PENOLOGIST	phen0 nool0 loo0 cis3
PENOLOGISTS	phen0 nool0 loo0 cis3
PENOLOGY	phen0 nool0 loo0 cii2
PENOYER	phen0 n@@j0 rqq2
PENPOINT	phen0 ph@@j3
PENPOINTS	phen0 ph@@j3
PENRHYN	phen0 rin2
PENRIDGE	phen0 ric1
PENRITH	phen0 rit3
PENROD	phen0 r@t3
PENRODS	phen0 r@t3
PENROSE	phen0 roos3
PENROSES	phen0 roos3 ses1
PENRY	phen0 rii2
PENRYN	phen0 rin2
PENS	phen0
PENSANT	phen0 sxxn3
PENSATE	phen0 seet3
PENSATION	phen0 see0 chan2
PENSE	phen3
PENSEES	phen0 sii2
PENSEL	phen0 sql2
PENSER	phen0 sqq2
PENSEROSO	phen0 sa1 r@s3 soo2
PENSES	phen0 ses1
PENSIC	phen0 sik3
PENSILE	phen0 saaj0
PENSINGER	phen0 sing0 kqq2
PENSION	phen0 chan2
PENSIONABLE	phen0 chan2 nee01 bql2
PENSIONABLY	phen0 chan2 nee0 blii2
PENSIONED	phen0 chan2 nit1
PENSIONER	phen0 chan2 nqq2
PENSIONERS	phen0 chan2 nqq2
PENSIONES	phen0 chan2 nees1
PENSIONING	phen0 chan2 ning2
PENSIONLESS	phen0 chan2 nql0 les1
PENSIONS	phen0 chan2
PENSIONS	phen0 chan2
PENSIVE	phen0 siif1
PENSIVED	phen0 siif1
PENSIVELY	phen0 siif3 lii2
PENSIVENESS	phen0 siif1 nees1
PENSKI	phen0 sa1 kii2
PENSKY	phen0 sa1 kaaj0
PENSON	phen0 san2
PENSONS	phen0 san2
PENSTAND	phen0 sa1 txxn0
PENSTAR	phen0 sa1 taa0
PENSTEMON	phen0 sa1 tee0 m@n2
PENSTEMONS	phen0 sa1 tee0 m@n2
PENSTER	phen0 sa1 tqq2
PENSTICK	phen0 sa1 tik3
PENSTOCK	phen0 sa1 t@k3
PENSTOCKS	phen0 sa1 t@k3
PENSTON	phen0 sa1 tan2
PENSTONE	phen0 sa1 toon0
PENSTROKE	phen0 sa1 trook1
PENSYLVANIA	phen0 sil0 waa0 niia0
PENT	phen3
PENTA	phen0 taa2
PENTACID	phen0 thq1 sit1
PENTACLE	phen0 thq1 khql2
PENTACLES	phen0 thq1 khql2
PENTACULA	phen0 thq1 khiw0 laa2
PENTACULAR	phen0 thq1 khiw0 laa2
PENTAD	phen0 thxt1
PENTADACTYL	phen0 thq1 dxk3 thil2
PENTADACTYLATE	phen0 thq1 dxk3 thil0 leet1
PENTADACTYLISM	phen0 thq1 dxk3 thil0 lis3 svm2
PENTADS	phen0 thxt1
PENTAGLOSSAL	phen0 thq1 kl@@s3 sql2
PENTAGLOT	phen0 thq1 kl@t3
PENTAGON	phen0 thq1 k@n2
PENTAGONAL	phen0 thq1 k@n0 nql2
PENTAGONALLY	phen0 thq1 k@n0 nql2 lii2
PENTAGONALS	phen0 thq1 k@n0 nql2
PENTAGONIANS	phen0 thq1 k@n0 niian2
PENTAGONS	phen0 thq1 k@n2
PENTAGRAM	phen0 thq1 krxxm0
PENTAGRAMMATIC	phen0 thq1 krxxm0 mee0 tik1
PENTAGRAMMED	phen0 thq1 krxxm0 mit1
PENTAGRAMS	phen0 thq1 krxxm0
PENTAGRAPH	phen0 thq1 kraaf3
PENTAIR	phen0 thxx0
PENTAL	phen0 thql2
PENTALITIES	phen0 thql0 li1 tii2
PENTAMER	phen0 theem0 mqq2
PENTAMERA	phen0 theem0 mqq0 raa2
PENTAMERAL	phen0 theem0 mqq0 rql2
PENTAMERISM	phen0 theem0 mqq0 ris3 svm2
PENTAMEROUS	phen0 theem0 mqq0 ras3
PENTAMERS	phen0 theem0 mqq2
PENTAMERUS	phen0 theem0 mqq0 ras3
PENTAMETER	phen0 theem0 mi3 tqq2
PENTAMETERS	phen0 theem0 mi3 tqq2
PENTAMETRIST	phen0 theem0 met3 thris3
PENTAN	phen0 than2
PENTANDER	phen0 than0 dqq2
PENTANES	phen0 thxxn0 nees1
PENTARCH	phen0 thaach3
PENTARES	phen0 thxxs2
PENTAS	phen0 thas3
PENTATE	phen0 theet1
PENTATES	phen0 theet3 thes1
PENTATEUCH	phen0 thq1 thqqch3
PENTATEUCHS	phen0 thq1 thqqch3
PENTATHLETE	phen0 thxt3 let1
PENTATHLETES	phen0 thxt3 let3 thes1
PENTATHLON	phen0 thxt3 l@n2
PENTATHLONS	phen0 thxt3 l@n2
PENTATOL	phen0 thq1 th@l2
PENTATOMIC	phen0 thq1 th@m0 mik1
PENTAUR	phen0 thqq2
PENTAX	phen0 thxk1
PENTECH	phen0 thek1
PENTECOST	phen0 thq1 kh@s3
PENTECOSTAL	phen0 thq1 kh@s3 thql2
PENTECOSTALISM	phen0 thq1 kh@s3 thql2 lis3 svm2
PENTECOSTALIST	phen0 thq1 kh@s3 thql0 lis3
PENTECOSTALISTS	phen0 thq1 kh@s3 thql0 lis3
PENTECOSTALS	phen0 thq1 kh@s3 thql2
PENTECOSTER	phen0 thq1 kh@s3 tqq2
PENTECOSTYS	phen0 thq1 kh@s3 tii2
PENTEEL	phen0 thel2
PENTEL	phen0 thel2
PENTELIC	phen0 theel0 lik3
PENTELICAN	phen0 theel0 li3 khan2
PENTELICUS	phen0 theel0 li3 khas3
PENTELS	phen0 thel2
PENTENTIARY	phen0 then0 chiia0 rii2
PENTES	phen0 thes1
PENTEX	phen0 thek1
PENTHE	phen3
PENTHOUSE	phen3 haaw3
PENTHOUSES	phen3 haaw3 ses1
PENTICA	phen0 tik1 kaa2
PENTICE	phen0 taaj3
PENTICES	phen0 taaj3 ses1
PENTICON	phen0 thi1 kh@n2
PENTIN	phen0 thin2
PENTINENCE	phen0 thi1 nxxn3
PENTINENT	phen0 thi1 nen3
PENTIRE	phen0 thaaj0
PENTLAND	phen3 lxxn0
PENTLANDS	phen3 lxxn0
PENTLER	phen0 thlqq2
PENTON	phen0 tan2
PENTONVILLE	phen0 tan2 wil0
PENTONY	phen0 thoo0 nii2
PENTOR	phen0 tqq2
PENTOS	phen0 th@s3
PENTOSES	phen0 th@s3 ses1
PENTOW	phen0 thoo2
PENTRATING	phen0 threet3 ting2
PENTRE	phen0 thqq2
PENTRESS	phen0 threes3
PENTREX	phen0 threk1
PENTRITE	phen0 thraj3
PENTRON	phen0 thr@n2
PENTROP	phen0 thr@p3
PENTRUST	phen0 thras3
PENTRY	phen0 thrii2
PENTSTEMON	phen3 sa1 tee0 m@n2
PENTSTEMONS	phen3 sa1 tee0 m@n2
PENULT	phen0 nal3
PENULTIMA	phen0 nal0 ti1 maa2
PENULTIMATE	phen0 nal0 ti1 meet1
PENULTIMATELY	phen0 nal0 ti1 meet3 lii2
PENULTIMATES	phen0 nal0 ti1 meet3 thes1
PENULTIMATUM	phen0 nal0 ti1 meet3 tham2
PENULTS	phen0 nal2
PENUMBRA	phen0 nam2 braa2
PENUMBRAE	phen0 nam2 bree2
PENUMBRAL	phen0 nam2 brql2
PENUMBRAS	phen0 nam2 bras3
PENUMBRIA	phen0 nam2 briia0
PENUMBROUS	phen0 nam2 bras2
PENURIOUS	phen0 niw0 riias3
PENURIOUSLY	phen0 niw0 riias3 lii2
PENURIOUSNESS	phen0 niw0 riias3 nees1
PENURY	phee0 niw0 rii2
PENWARE	phen0 wxx0
PENWELL	phen0 wel2
PENWEST	phen0 wes3
PENWOMAN	phen0 wuu3 mxn2
PENWOMANSHIP	phen0 wuu3 mxn2 chip3
PENWORKER	phen0 wqqk3 kqq2
PENWORTH	phen0 wqqt3
PENWORTHY	phen0 wqqt3 tii2
PENZA	phen0 saa2
PENZANCE	phen0 sxxn3
PEON	phii0 an2
PEONAGE	phii0 an0 neec1
PEONAGES	phii0 an0 neec3 ces1
PEONES	phii0 an0 nees1
PEONIES	phii0 an0 nii2
PEONISM	phii0 an0 nis3 svm2
PEONISMS	phii0 an0 nis3 svm2
PEONS	phii0 an2
PEONY	phii0 @@n0 nii2
PEOPLE	phii0 phql2
PEOPLER	phii0 phlqq2
PEOPLERS	phii0 phlqq2
PEOPLES	phii0 phql2
PEOPLING	phii0 phling2
PEOPLISH	phii0 phlich3
PEP	phep3
PEPER	phep3 phqq2
PEPERS	phep3 phqq2
PEPING	phep3 phing2
PEPLIN	phep3 phlin2
PEPLINSKI	phep3 phlin0 sa1 kii2
PEPLINSKY	phep3 phlin0 sa1 kaaj0
PEPLOW	phep3 phloo2
PEPPARD	phep3 phaat1
PEPPED	phep3 phit1
PEPPER	phep3 phqq2
PEPPERBOX	phep3 phqq2 b@k3
PEPPERCORN	phep3 phqq2 kh@@n0
PEPPERCORNISH	phep3 phqq2 kh@@n0 nich3
PEPPERCORNS	phep3 phqq2 kh@@n0
PEPPERD	phep3 phqqt1
PEPPERED	phep3 phqq2 rit1
PEPPERELL	phep3 phqq0 reel2
PEPPERER	phep3 phqq0 rqq2
PEPPERERS	phep3 phqq0 rqq2
PEPPERINESS	phep3 phqq0 ri3 nees1
PEPPERING	phep3 phqq0 ring2
PEPPERISH	phep3 phqq0 rich3
PEPPERISHLY	phep3 phqq0 rich3 lii2
PEPPERMAN	phep3 phqq2 mxxn0
PEPPERMILL	phep3 phqq2 mil0
PEPPERMINT	phep3 phqq2 min3
PEPPERMINTED	phep3 phqq2 min3 thet1
PEPPERMINTS	phep3 phqq2 min3
PEPPERS	phep3 phqq2
PEPPERTREE	phep3 phqq2 thrii0
PEPPERY	phep3 phqq0 rii2
PEPPIER	phep3 phiia0
PEPPIN	phep3 phin2
PEPPINESS	phep3 phin0 nees1
PEPPING	phep3 phing2
PEPS	phep3
PEPSID	phep3 sit1
PEPSIN	phep3 sin2
PEPSINATE	phep3 si1 neet1
PEPSINE	phep3 saaj0
PEPSINES	phep3 saaj0 nees1
PEPSINS	phep3 sin2
PEPSIS	phep3 sis3
PEPTIC	phep3 tik1
PEPTICAL	phep3 tik1 kh@l2
PEPTICITY	phep3 tik1 si3 tii2
PEPTICS	phep3 tik1
PEPTIDE	phep3 taaj3
PEPTIDES	phep3 taaj3
PEPTOCOCCUS	phep3 thoo0 kh@k3 khas3
PEPTONE	phep3 thoon0
PEPTONIC	phep3 th@@n0 nik1
PEPTONIZATION	phep3 thoo0 naj3 see0 chan2
PEPTONIZE	phep3 thoo0 naj3
PEPTONIZER	phep3 thoo0 naj3 sqq2
PER	phqq2
PERADVENTURE	phqq0 xt3 wen0 chqq2
PERALES	phqq0 riial2 les1
PERALI	phqq0 r@l2 lii2
PERALIA	phqq0 rxxl0 liia0
PERAMBLE	phqq0 rxxm0 bql2
PERAMBULANT	phqq0 rxxm0 biw0 lxxn3
PERAMBULATE	phqq0 rxxm0 biw0 leet1
PERAMBULATED	phqq0 rxxm0 biw0 leet3 thet1
PERAMBULATES	phqq0 rxxm0 biw0 leet3 thes1
PERAMBULATING	phqq0 rxxm0 biw0 leet3 ting2
PERAMBULATION	phqq0 rxxm0 biw0 lee0 chan2
PERAMBULATIONS	phqq0 rxxm0 biw0 lee0 chan2
PERAMBULATOR	phqq0 rxxm0 biw0 lee0 thqq2
PERAMBULATORS	phqq0 rxxm0 biw0 lee0 thqq2
PERAMBULATORY	phqq0 rxxm0 biw0 lee0 thq1 rii2
PERAMBULISTS	phqq0 rxxm0 biw0 lis3
PERAMETERS	phqq0 rxxm0 mi3 thqq2
PERCEIVABILITY	phqq0 siif3 wq1 bi1 li1 tii2
PERCEIVABLE	phqq0 siif3 wee0 bql2
PERCEIVABLENESS	phqq0 siif3 wee0 bql2 nees1
PERCEIVABLY	phqq0 siif3 wee0 blii2
PERCEIVE	phqq0 siif3
PERCEIVED	phqq0 siif3
PERCEIVER	phqq0 siif3 wqq2
PERCEIVERS	phqq0 siif3 wqqs3
PERCEIVES	phqq0 siif3
PERCEIVING	phqq0 siif3 wing2
PERCELL	phqq0 seel2
PERCELLE	phqq0 seel2
PERCENT	phqq0 sen0
PERCENTABLE	phqq0 sen0 thee0 bql2
PERCENTABLY	phqq0 sen0 thee0 blii2
PERCENTAGE	phqq0 sen0 theec1
PERCENTAGED	phqq0 sen0 thec3 cit1
PERCENTAGES	phqq0 sen0 thec3 ces1
PERCENTAL	phqq0 sen0 thql2
PERCENTAND	phqq0 sen0 thxxn3
PERCENTER	phqq0 sen0 thqq2
PERCENTERS	phqq0 sen0 thqq2
PERCENTILE	phqq0 sen0 thaaj0
PERCENTILES	phqq0 sen0 thaaj0 les1
PERCENTIN	phqq0 sen0 thin2
PERCENTING	phqq0 sen0 ting2
PERCENTISM	phqq0 sen0 this3 svm2
PERCENTON	phqq0 sen0 than2
PERCENTS	phqq0 sen0
PERCENTUAL	phqq0 sen0 chuu0 al2
PERCEPT	phqq0 sep3
PERCEPTA	phqq0 sep3 taa2
PERCEPTABLY	phqq0 sep3 thee0 blii2
PERCEPTIBILITY	phqq0 sep3 thq1 bi1 li1 tii2
PERCEPTIBLE	phqq0 sep3 thi1 bql2
PERCEPTIBLENESS	phqq0 sep3 thi1 bql2 nees1
PERCEPTIBLY	phqq0 sep3 thi1 blii2
PERCEPTION	phqq0 sep3 chan2
PERCEPTIONAL	phqq0 sep3 chan2 n@l2
PERCEPTIONALISM	phqq0 sep3 chan0 nql2 lis3 svm2
PERCEPTIONISM	phqq0 sep3 chan2 nis3 svm2
PERCEPTIONS	phqq0 sep3 chan2
PERCEPTIVE	phqq0 sep3 thif1
PERCEPTIVELY	phqq0 sep3 thif1 lii2
PERCEPTIVENESS	phqq0 sep3 thif1 nees1
PERCEPTIVITY	phqq0 sep3 thi1 wi1 tii2
PERCEPTOR	phqq0 sep3 thqq2
PERCEPTORS	phqq0 sep3 thqq2
PERCEPTRON	phqq0 sep3 thr@n2
PERCEPTRONS	phqq0 sep3 thr@n2
PERCEPTS	phqq0 sep3
PERCEPTUAL	phqq0 sep3 chuu0 al2
PERCEPTUALLY	phqq0 sep3 chuu0 al2 lii2
PERCH	phqqch3
PERCHANCE	phqq0 chxxn3
PERCHANCED	phqq0 chxxn3 cit1
PERCHED	phqq0 chit1
PERCHER	phqq0 chqq2
PERCHERS	phqq0 chqq2
PERCHES	phqq0 ches1
PERCHIN	phqq0 chin2
PERCHING	phqq0 ching2
PERCHINGS	phqq0 ching2
PERCHLORATE	phqq0 loo0 reet1
PERCHLORIC	phqq0 loo0 rik1
PERCHLORIDE	phqq0 loo0 raj3
PERCIES	phqq0 sii2
PERCIFORM	phqq0 si1 f@@m0
PERCIFORMES	phqq0 si1 f@@m0 mes1
PERCIFUL	phqq0 si1 ful0
PERCIPIENCE	phqq0 si1 phiian3
PERCIPIENCY	phqq0 si1 phiian0 sii2
PERCIPIENT	phqq0 si1 phiian3
PERCIPIENTS	phqq0 si1 phiian3
PERCIPITATED	phqq0 si1 phi1 theet3 thet1
PERCIPITATION	phqq0 si1 phi1 thee0 chan2
PERCIPITOUS	phqq0 si1 phi1 tqq2
PERCOLA	phqq0 koo0 laa2
PERCOLATE	phqq0 khq1 leet1
PERCOLATED	phqq0 khq1 leet3 thet1
PERCOLATER	phqq0 khq1 leet3 tqq2
PERCOLATES	phqq0 khq1 leet3 thes1
PERCOLATING	phqq0 khq1 leet3 ting2
PERCOLATION	phqq0 khq1 lee0 chan2
PERCOLATIONS	phqq0 khq1 lee0 chan2
PERCOLATOR	phqq0 khq1 lee0 thqq2
PERCOLATORS	phqq0 khq1 lee0 thqq2
PERCOLO	phqq0 khq1 loo2
PERCURRENT	phqq0 khq1 ren3
PERCUSS	phqq0 khas3
PERCUSSED	phqq0 khas3 sit1
PERCUSSES	phqq0 khas3 ses1
PERCUSSING	phqq0 khas3 sing2
PERCUSSION	phqq0 khas3 chan2
PERCUSSIONER	phqq0 khas3 chan2 nqq2
PERCUSSIONISE	phqq0 khas3 chan2 naj3
PERCUSSIONISES	phqq0 khas3 chan2 naj3 ses1
PERCUSSIONIST	phqq0 khas3 chan2 nis3
PERCUSSIONISTS	phqq0 khas3 chan2 nis3
PERCUSSIONIZE	phqq0 khas3 chan2 naj3
PERCUSSIONIZES	phqq0 khas3 chan2 naj3 ses1
PERCUSSIONS	phqq0 khas3 chan2
PERCUSSIVE	phqq0 khas3 siif1
PERCUSSIVELY	phqq0 khas3 sif1 lii2
PERCUSSIVENESS	phqq0 khas3 sif1 nees1
PERCUTANEOUS	phqq0 khiw0 then0 niias2
PERCUTANEOUSLY	phqq0 khiw0 then0 niias3 lii2
PERCY	phqq0 sii2
PERCYS	phqq0 sii2
PERDEW	phqq0 diw2
PERDIE	phqq0 dii2
PERDITION	phqq0 di1 chan2
PERDITIONABLE	phqq0 di1 chan0 nee0 bql2
PERDITIONS	phqq0 di1 chan2
PERDU	phqq0 duu2
PERDUE	phqq0 diw0
PERDUES	phqq0 diw0
PERDURABILITY	phqq0 duua0 ra1 bi1 li1 tii2
PERDURABLE	phqq0 duua0 ra1 bql2
PERDURE	phqq0 dqq2
PERDUS	phqq0 das3
PEREGG	phqq0 rek1
PEREGRIM	phqq0 rq1 krim0
PEREGRIN	phqq0 rq1 krin2
PEREGRINATE	phqq0 rq1 krin0 neet1
PEREGRINATED	phqq0 rq1 krin0 neet3 thet1
PEREGRINATES	phqq0 rq1 krin0 neet3 thes1
PEREGRINATING	phqq0 rq1 krin0 neet3 ting2
PEREGRINATION	phqq0 rq1 krin0 nee0 chan2
PEREGRINATIONS	phqq0 rq1 krin0 nee0 chan2
PEREGRINATOR	phqq0 rq1 krin0 neet3 tqq2
PEREGRINE	phqq0 rq1 krin0
PEREGRINES	phqq0 rq1 krin0 nees1
PEREGRINITY	phqq0 rq1 krin0 ni1 tii2
PEREGRINS	phqq0 rq1 krin2
PERELLA	phqq0 reel0 laa2
PERELLI	phqq0 reel0 lii2
PERELLO	phqq0 reel0 loo2
PERELMAN	phqq0 reel2 mxxn0
PERELMANS	phqq0 reel2 mxxn0
PEREMPTION	phqq0 rem0 chan2
PEREMPTORILY	phqq0 rem0 thq1 ri1 li2
PEREMPTORY	phqq0 rem0 thq1 rii2
PERENNIAL	phqq0 ren0 niial2
PERENNIALLY	phqq0 ren0 niial0 lii2
PERENNIALS	phqq0 ren0 niial2
PERENTAGE	phqq0 ren0 theec1
PERERA	phqq2 rqq0 raa2
PERERAS	phqq2 rqq0 ras3
PERES	phiias2
PERESTROIKA	phqq0 res3 thr@@j0 kaa2
PERFECT	phqq0 fek1
PERFECTA	phqq0 fek3 taa2
PERFECTABILITY	phqq0 fek3 thq1 bi1 li3 tii2
PERFECTABLE	phqq0 fek3 thee0 bql2
PERFECTAS	phqq0 fek3 thas2
PERFECTATION	phqq0 fek3 thee0 chan2
PERFECTED	phqq0 fek3 thet1
PERFECTEDLY	phqq0 fek3 thet1 lii2
PERFECTER	phqq0 fek3 tqq2
PERFECTERS	phqq0 fek3 tqq2
PERFECTEST	phqq0 fek3 this3
PERFECTIBILISM	phqq0 fek3 thq1 bi1 lis3 svm2
PERFECTIBILIST	phqq0 fek3 thq1 bi1 lis3
PERFECTIBILITARIAN	phqq0 fek3 thq1 bi1 li3 thxx0 riian2
PERFECTIBILITY	phqq0 fek3 thq1 bi1 li3 tii2
PERFECTIBLE	phqq0 fek3 thi1 bql2
PERFECTING	phqq0 fek3 ting2
PERFECTINGS	phqq0 fek3 ting2
PERFECTION	phqq0 fek3 chan2
PERFECTIONATE	phqq0 fek3 chan2 neet1
PERFECTIONER	phqq0 fek3 chan2 nqq2
PERFECTIONISM	phqq0 fek3 chan2 nis3 svm2
PERFECTIONIST	phqq0 fek3 chan2 nis3
PERFECTIONISTIC	phqq0 fek3 chan2 nis3 tik1
PERFECTIONISTS	phqq0 fek3 chan2 nis3
PERFECTIONIZE	phqq0 fek3 chan2 naj3
PERFECTIONIZER	phqq0 fek3 chan2 naj3 sqq2
PERFECTIONS	phqq0 fek3 chan2
PERFECTIVE	phqq0 fek3 thif1
PERFECTIVELY	phqq0 fek3 thif1 lii2
PERFECTIVENESS	phqq0 fek3 thif1 nees1
PERFECTIVISES	phqq0 fek3 thi1 wis3 ses1
PERFECTIVITY	phqq0 fek3 thi1 wi1 tii2
PERFECTIVIZE	phqq0 fek3 thi1 waaj3
PERFECTIVIZES	phqq0 fek3 thi1 waaj3 ses1
PERFECTLY	phqq0 fek3 lii2
PERFECTNESS	phqq0 fek3 nees1
PERFECTO	phqq0 fek3 too2
PERFECTOR	phqq0 fek3 tqq2
PERFECTORS	phqq0 fek3 tqq2
PERFECTOS	phqq0 fek3 toos2
PERFECTS	phqq0 fek1
PERFECTUM	phqq0 fek3 tam2
PERFERVENT	phqq0 fqq0 wen3
PERFERVID	phqq0 fqq0 wit3
PERFERVIDITY	phqq0 fqq0 wit3 di1 tii2
PERFERVIDLY	phqq0 fqq0 wit3 lii2
PERFERVIDNESS	phqq0 fqq0 wit3 nees1
PERFERVOUR	phqq0 fqq0 wqq2
PERFIDIES	phqq0 fi3 dis1
PERFIDIOUS	phqq0 fi3 diias2
PERFIDIOUSLY	phqq0 fi3 diias2 lii2
PERFIDIOUSNESS	phqq0 fi3 diias2 nees1
PERFIDY	phqq0 fi3 dii2
PERFIT	phqq0 fit1
PERFORABLE	phqq0 fq1 ree0 bql2
PERFORATE	phqq0 fq1 reet1
PERFORATED	phqq0 fq1 reet3 thet1
PERFORATES	phqq0 fq1 reet3 thes1
PERFORATING	phqq0 fq1 reet3 ting2
PERFORATION	phqq0 fq1 ree0 chan2
PERFORATIONS	phqq0 fq1 ree0 chan2
PERFORATOR	phqq0 fq1 reet3 tqq2
PERFORATORS	phqq0 fq1 reet3 tqq2
PERFORATUS	phqq0 fq1 ret3 tas3
PERFORCE	phqq0 f@@s3
PERFORM	phqq0 f@@m0
PERFORMA	phqq0 f@@m0 maa2
PERFORMABILITY	phqq0 f@@m0 mq1 bi1 li1 tii2
PERFORMABLE	phqq0 f@@m0 mee0 bql2
PERFORMAN	phqq0 f@@m0 mqn2
PERFORMANCE	phqq0 f@@m0 mxxn3
PERFORMANCED	phqq0 f@@m0 mxxn3 sit1
PERFORMANCES	phqq0 f@@m0 mxxn3 ses1
PERFORMAND	phqq0 f@@m0 mxxn3
PERFORMANT	phqq0 f@@m0 mxxn3
PERFORMAS	phqq0 f@@m0 mas3
PERFORMATIVE	phqq0 f@@m0 mee0 thif1
PERFORMATIVES	phqq0 f@@m0 mee0 thif1
PERFORMATIVITY	phqq0 f@@m0 mee0 thi3 wi1 tii2
PERFORMATORY	phqq0 f@@m0 met3 thq1 rii2
PERFORME	phqq0 f@@m0
PERFORMED	phqq0 f@@m0 mit1
PERFORMER	phqq0 f@@m0 mqq2
PERFORMERS	phqq0 f@@m0 mqq2
PERFORMING	phqq0 f@@m0 ming2
PERFORMINGS	phqq0 f@@m0 ming2
PERFORMS	phqq0 f@@m0
PERFUME	phqq0 fuum0
PERFUMED	phqq0 fuum0 mit1
PERFUMER	phqq0 fuum0 mqq2
PERFUMERIA	phqq0 fuum0 mq1 riia0
PERFUMERIAS	phqq0 fuum0 mq1 riias2
PERFUMERIES	phqq0 fuum0 mq1 rii2
PERFUMERS	phqq0 fuum0 mqq2
PERFUMERY	phqq0 fuum0 mee0 rii2
PERFUMES	phqq0 fuum0 mes1
PERFUMIER	phqq0 fuum0 miia0
PERFUMIERS	phqq0 fuum0 miia0
PERFUMING	phqq0 fuum0 ming2
PERFUNCTIONARY	phqq0 fang0 chan2 nq1 rii2
PERFUNCTORILY	phqq0 fang0 thq1 ri1 lii2
PERFUNCTORINESS	phqq0 fang0 thq1 ri1 nees1
PERFUNCTORIOUS	phqq0 fang0 thq1 riias2
PERFUNCTORIOUSLY	phqq0 fang0 thq1 riias2 lii2
PERFUNCTORIZE	phqq0 fang0 thq1 raj3
PERFUNCTORY	phqq0 fang0 thq1 rii2
PERFUSE	phqq0 fiw3
PERFUSED	phqq0 fiw3 sit1
PERFUSES	phqq0 fiw3 ses1
PERFUSING	phqq0 fiw3 sing2
PERFUSION	phqq0 fiw3 chan2
PERFUSIONS	phqq0 fiw3 chan2
PERFUSIVE	phqq0 fiw0 sif1
PERGAMENT	phqq0 kaa0 men3
PERGAMMON	phqq0 kxxm0 man2
PERGANDER	phqq0 kxxn0 dqq2
PERGOLA	phqq0 koo0 laa2
PERGOLAS	phqq0 koo0 las2
PERGOLESE	phqq0 koo0 lii2
PERGOLESIAN	phqq0 koo0 lii0 siian2
PERHAM	phqq0 hxxm2
PERHAPS	phqq0 hxp3
PERHAPSES	phqq0 hxp3 ses1
PERI	phqq0 rii2
PERICA	phqq0 rik3 kaa2
PERICARDIAL	phqq0 rik3 kaa0 diial2
PERICARDITIS	phqq0 rik3 kaa0 dit3 tii2
PERICARDIUM	phqq0 rik3 kaa0 diiam2
PERICARP	phqq0 rik3 khaap3
PERICARPS	phqq0 rik3 khaap3
PERICAS	phqq0 rik3 khas3
PERICE	phqq0 raj3
PERICK	phqq0 rik3
PERICLE	phqq0 ri1 khql2
PERICLEAN	phqq0 ri3 khliin0
PERICLES	phqq0 ri1 khql2
PERICLINE	phqq0 ri1 khlaaj0
PERICOLA	phqq0 ri3 khoo0 laa2
PERICOLI	phqq0 ri3 khoo0 lii2
PERICOLITIS	phqq0 ri1 khoo0 laj3 this1
PERICON	phqq0 ri1 kh@n2
PERICONCEPTIONAL	phqq0 ri1 kh@n0 sep3 chan0 n@l2
PERICONTINENTAL	phqq0 ri1 kh@n0 thi1 nen0 th@l2
PERICOS	phqq0 ri1 kh@s3
PERICULA	phqq0 ri1 khiw0 laa2
PERICULANT	phqq0 ri1 khiw0 lxxn3
PERICULOUS	phqq0 ri1 khiw0 las2
PERICYCLE	phqq0 ri1saj3 khql2
PERICYCLIC	phqq0 ri1 saj3 khlik1
PERIDA	phqq0 ri1 dqq2
PERIDENTAL	phqq0 ri1 den0 th@l2
PERIDENTIUM	phqq0 ri1 den0 thiiam2
PERIDIUM	phqq0 ri1 diiam2
PERIDOR	phqq0 ri1 dqq2
PERIDOT	phqq0 ri1 d@t3
PERIDOTIC	phqq0 ri1 d@t3 tik1
PERIDOTS	phqq0 ri1 d@t3
PERIENCE	phqq0 riian3
PERIES	phqq0 rii2
